Age Group,AI Expertise,Question Number,Scenario,Options,Mapping,Weight,Ethical Score
60+,Intermediate,19,For teaching and mentoring,A – Use AI to deliver all mentoring content.,High AI impact,1-2,0
60+,Intermediate,19,For teaching and mentoring,B – Mentor entirely from your own knowledge and experience.,Low-impact conscious use,5-6,2
60+,Intermediate,19,For teaching and mentoring,"C – Use AI for resources, mentor from your own experience.",Balanced AI use,3-4,1
60+,Intermediate,20,For ai for physical accessibility,A – Use full AI accessibility tools for everything.,High AI impact,1-2,0
60+,Intermediate,20,For ai for physical accessibility,B – Use established accessibility tools and human support.,Low-impact conscious use,5-6,1
60+,Intermediate,20,For ai for physical accessibility,C – Use AI tools for specific accessibility needs.,Balanced AI use,3-4,2
60+,Expert,1,For exploring ai tools professionally,A – Test tools rigorously using your expertise as the standard.,Low-impact conscious use,5-6,2
60+,Expert,1,For exploring ai tools professionally,B – Use every new AI tool without evaluation.,High AI impact,1-2,0
60+,Expert,1,For exploring ai tools professionally,C – Evaluate AI tools against your professional criteria.,Balanced AI use,3-4,1
60+,Expert,2,For writing and publishing,"A – Use AI for research and structure, write yourself.",Balanced AI use,3-4,1
60+,Expert,2,For writing and publishing,B – Use AI to write and publish everything.,High AI impact,1-2,0
60+,Expert,2,For writing and publishing,"C – Write entirely in your own voice, AI only for fact-checking.",Low-impact conscious use,5-6,2
60+,Expert,3,For research and analysis,"A – Use AI for literature search, conduct analysis yourself.",Balanced AI use,3-4,1
60+,Expert,3,For research and analysis,B – Use your expertise for all research and interpretation.,Low-impact conscious use,5-6,2
60+,Expert,3,For research and analysis,C – Use AI to conduct and interpret all research.,High AI impact,1-2,0
60+,Expert,4,For mentoring with ai,"A – Use AI to find resources, mentor from your own experience.",Balanced AI use,3-4,1
60+,Expert,4,For mentoring with ai,B – Let AI do all the mentoring.,High AI impact,1-2,0
60+,Expert,4,For mentoring with ai,C – Mentor entirely from your own knowledge and relationships.,Low-impact conscious use,5-6,2
60+,Expert,5,For understanding llms,A – Learn how LLMs work and use them deliberately.,Balanced AI use,3-4,1
60+,Expert,5,For understanding llms,B – Use LLMs for all tasks without understanding.,High AI impact,1-2,0
60+,Expert,5,For understanding llms,C – Understand the architecture before using any LLM tools.,Low-impact conscious use,5-6,2
60+,Expert,6,For contributing to ai ethics,A – Use AI to write all your ethics positions.,High AI impact,1-2,0
60+,Expert,6,For contributing to ai ethics,"B – Research positions and think them through, write yourself.",Balanced AI use,3-4,1
60+,Expert,6,For contributing to ai ethics,C – Develop positions independently from your own values and experience.,Low-impact conscious use,5-6,2
60+,Expert,7,For community ai education,A – Use AI to deliver all community education.,High AI impact,1-2,0
60+,Expert,7,For community ai education,B – Teach entirely from your experience and prepared materials.,Low-impact conscious use,5-6,2
60+,Expert,7,For community ai education,"C – Use AI for resources, teach from your own knowledge.",Balanced AI use,3-4,1
60+,Expert,8,For digital archiving,"A – Use AI for metadata generation, review each entry yourself.",Balanced AI use,3-4,1
60+,Expert,8,For digital archiving,B – Organise and describe archives using your own expertise.,Low-impact conscious use,5-6,2
60+,Expert,8,For digital archiving,C – Use AI to organise and describe all archives.,High AI impact,1-2,0
60+,Expert,9,For health data analysis,A – Discuss all health data directly with your healthcare team.,Low-impact conscious use,5-6,2
60+,Expert,9,For health data analysis,B – Use AI to interpret all personal health data.,High AI impact,1-2,0
60+,Expert,9,For health data analysis,"C – Use AI for pattern recognition, interpret with your doctor.",Balanced AI use,3-4,1
60+,Expert,10,For building simple automations,A – Automate everything without understanding steps.,High AI impact,1-2,0
60+,Expert,10,For building simple automations,B – Automate specific repetitive tasks you fully understand.,Balanced AI use,3-4,1
60+,Expert,10,For building simple automations,C – Only automate tasks where you could explain each step.,Low-impact conscious use,5-6,2
60+,Expert,11,For teaching ai basics,A – Use AI to deliver all your AI teaching.,High AI impact,1-2,0
60+,Expert,11,For teaching ai basics,B – Develop and teach all content from your own understanding.,Low-impact conscious use,5-6,2
60+,Expert,11,For teaching ai basics,"C – Use AI for examples, teach the concepts yourself.",Balanced AI use,3-4,1
60+,Expert,12,For ai for professional legacy work,A – Use AI to recreate and publish all past work.,High AI impact,1-2,0
60+,Expert,12,For ai for professional legacy work,"B – Use AI for organisation and formatting, write yourself.",Balanced AI use,3-4,1
60+,Expert,12,For ai for professional legacy work,C – Present your work entirely in your own words.,Low-impact conscious use,5-6,2
60+,Expert,13,For understanding ai policy,A – Ask AI for all your policy positions.,High AI impact,1-2,0
60+,Expert,13,For understanding ai policy,B – Engage with policy debates from your own expertise.,Low-impact conscious use,5-6,2
60+,Expert,13,For understanding ai policy,"C – Research multiple sources, form views independently.",Balanced AI use,3-4,1
60+,Expert,14,For contributing to open knowledge,"A – Use AI for structure, write content from your knowledge.",Balanced AI use,3-4,1
60+,Expert,14,For contributing to open knowledge,B – Use AI to write all your contributions.,High AI impact,1-2,0
60+,Expert,14,For contributing to open knowledge,C – Contribute entirely from your own expertise.,Low-impact conscious use,5-6,2
60+,Expert,15,For creative ai projects,"A – Create entirely yourself, AI only for technical tasks.",Low-impact conscious use,5-6,2
60+,Expert,15,For creative ai projects,B – Use AI to generate all creative output.,High AI impact,1-2,0
60+,Expert,15,For creative ai projects,"C – Co-create with AI, directing all the creative choices.",Balanced AI use,3-4,1
60+,Expert,16,For sharing expertise via ai,A – Let AI represent your expertise entirely.,High AI impact,1-2,0
60+,Expert,16,For sharing expertise via ai,B – Share your expertise directly through writing and speaking.,Low-impact conscious use,5-6,2
60+,Expert,16,For sharing expertise via ai,"C – Use AI for reach and formatting, your knowledge is the content.",Balanced AI use,3-4,1
60+,Expert,17,For evaluating ai tools critically,A – Adopt tools based on marketing claims.,High AI impact,1-2,0
60+,Expert,17,For evaluating ai tools critically,B – Test tools rigorously using your domain expertise.,Low-impact conscious use,5-6,2
60+,Expert,17,For evaluating ai tools critically,C – Evaluate tools against your own professional benchmarks.,Balanced AI use,3-4,1
60+,Expert,18,For intergenerational ai collaboration,A – Collaborate directly with no AI mediation.,Low-impact conscious use,5-6,2
60+,Expert,18,For intergenerational ai collaboration,B – Use AI as a substitute for collaboration.,High AI impact,1-2,0
60+,Expert,18,For intergenerational ai collaboration,C – Use AI to facilitate intergenerational knowledge sharing.,Balanced AI use,3-4,1
60+,Expert,19,For understanding ai risks,A – Ask AI to explain all AI risks.,High AI impact,1-2,0
60+,Expert,19,For understanding ai risks,B – Develop your risk assessment from first principles.,Low-impact conscious use,5-6,2
60+,Expert,19,For understanding ai risks,C – Read widely and form your own risk assessment.,Balanced AI use,3-4,1
60+,Expert,20,For ai in retirement communities,A – Keep all community relationships fully human-led.,Low-impact conscious use,5-6,2
60+,Expert,20,For ai in retirement communities,B – Deploy AI for all community operations.,High AI impact,1-2,0
60+,Expert,20,For ai in retirement communities,"C – Pilot AI for specific admin tasks, keep relationships human.",Balanced AI use,3-4,1
